Female 816932 133     132     124     118      64.5
Male   1001121 140     150     124             72.5
Male   1038437 139     123     150     143     73.3
Male   965353 133     129     128     172      68.8
Female 951545 137     132     134     147      65.0
Female 928799 99      90      110     146      69.0
Female 991305 138     136     131     138      64.5
Female 854258 92      90      98      175      66.0
Male   904858 89      93      84      134      66.3
Male   955466 133     114     147     172      68.8
Female 833868 132     129     124     118      64.5
Male   1079549 141     150     128     151     70.0
Male   924059 135     129     124     155      69.0
Female 856472 140     120     147     155      70.5
Female 878897 96      100     90      146      66.0
Female 865363 83      71      96      135      68.0
Female 852244 132     132     120     127      68.5
Male   945088 100     96      102     178      73.5
Female 808020 101     112     84      136      66.3
Male   889083 80      77      86      180      70.0
Male   892420 83      83      86                   
Male   905940 97      107     84      186      76.5
Female 790619 135     129     134     122      62.0
Male   955003 139     145     128     132      68.0
Female 831772 91      86      102     114      63.0
Male   935494 141     145     131     171      72.0
Female 798612 85      90      84      140      68.0
Male   1062462 103     96      110     187     77.0
Female 793549 77      83      72      106      63.0
Female 866662 130     126     124     159      66.5
Female 857782 133     126     132     127      62.5
Male   949589 144     145     137     191      67.0
Male   997925 103     96      110     192      75.5
Male   879987 90      96      86      181      69.0
Female 834344 83      90      81      143      66.5
Female 948066 133     129     128     153      66.5
Male   949395 140     150     124     144      70.5
Female 893983 88      86      94      139      64.5
Male   930016 81      90      74      148      74.0
Male   935863 89      91      89      179      75.5
